date,kind,ticker,detail
2018-11-13,issuer_changed,JKHY,"run from 2018-11-13 states several CIKs (0000779152, 0001262439); published value is the most stated"
2018-11-13,stale_list,EQT,"record dates this removal to 2018-11-13, but the list still disagreed at 2018-11-14; trusting the record"
2018-11-13,stale_list,JKHY,"record dates this addition to 2018-11-13, but the list still disagreed at 2018-11-14; trusting the record"
2018-11-14,unexplained_addition,LIN,appeared between 2018-10-31 and 2018-11-14 with no change record
2018-11-14,unexplained_removal,PX,vanished between 2018-10-31 and 2018-11-14 with no change record
2019-01-14,unexplained_addition,CPRI,appeared between 2018-12-24 and 2019-01-14 with no change record
2019-01-14,unexplained_removal,KORS,vanished between 2018-12-24 and 2019-01-14 with no change record
2019-03-19,issuer_changed,FOX,"run from 2019-03-19 states several CIKs (0001308161, 0001754301); published value is the most stated"
2019-03-19,issuer_changed,FOXA,"run from 2019-03-19 states several CIKs (0001308161, 0001754301); published value is the most stated"
2019-03-19,issuer_split,FOX,record dated 2019-03-19 removes and adds this symbol in one day; the run is split into two issuers
2019-03-19,issuer_split,FOXA,record dated 2019-03-19 removes and adds this symbol in one day; the run is split into two issuers
2019-03-19,stale_list,FOX,"record dated 2019-03-19 removed this name, but the list still carried it at 2019-03-18; trusting the record"
2019-03-19,stale_list,FOXA,"record dated 2019-03-19 removed this name, but the list still carried it at 2019-03-18; trusting the record"
2019-06-07,phantom_addition,BMS,record dated 2019-06-07 matches no transition in the snapshots
2019-06-07,stale_list,MAT,"record dates this removal to 2019-06-07, but the list still disagreed at 2019-06-08; trusting the record"
2019-06-11,phantom_removal,BMS,record dated 2019-06-11 matches no transition in the snapshots
2019-07-09,unexplained_addition,LHX,appeared between 2019-06-24 and 2019-07-09 with no change record
2019-07-09,unexplained_removal,HRS,vanished between 2019-06-24 and 2019-07-09 with no change record
2019-08-16,unexplained_addition,GL,appeared between 2019-08-02 and 2019-08-16 with no change record
2019-08-16,unexplained_removal,TMK,vanished between 2019-08-02 and 2019-08-16 with no change record
2019-10-25,unexplained_addition,BKR,appeared between 2019-09-25 and 2019-10-25 with no change record
2019-10-25,unexplained_removal,BHGE,vanished between 2019-09-25 and 2019-10-25 with no change record
2019-11-09,unexplained_addition,NLOK,appeared between 2019-10-25 and 2019-11-09 with no change record
2019-11-09,unexplained_addition,PEAK,appeared between 2019-10-25 and 2019-11-09 with no change record
2019-11-09,unexplained_removal,HCP,vanished between 2019-10-25 and 2019-11-09 with no change record
2019-11-09,unexplained_removal,SYMC,vanished between 2019-10-25 and 2019-11-09 with no change record
2019-12-08,issuer_changed,VIAC,"run from 2019-12-08 states several CIKs (0000813828, 0001339947); published value is the most stated"
2019-12-08,unexplained_addition,VIAC,appeared between 2019-11-23 and 2019-12-08 with no change record
2019-12-08,unexplained_removal,CBS,vanished between 2019-11-23 and 2019-12-08 with no change record
